                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96709,                0.96733,                 1.1283,                0.80533,                0.71365,                0.79662,                0.56681,                0.95142,                0.74675,                 1.0909,               0.070096,              0.0033227,              0.0033227
                      1,                 1.0152,                0.83418,                 1.1478,                0.79072,                0.65358,                0.75229,                0.51408,                 1.0451,                0.85848,                 1.1529,               0.040074,              0.0066341,              0.0066341
                      2,                 1.1492,                 1.0167,                 1.2368,                0.66045,                0.55803,                0.60159,                0.35526,                 1.3444,                 1.2394,                 1.3582,                0.01003,              0.0099234,              0.0099234
                      3,                 1.2988,                 1.1939,                 1.3317,                0.67752,                0.52263,                0.59193,                0.35738,                 1.3534,                 1.3111,                 1.4027,               0.009901,               0.009901,               0.009901
                      4,                 1.3301,                 1.2228,                 1.3637,                0.70747,                0.54598,                0.62338,                 0.3764,                 1.3475,                 1.1784,                 1.3852,               0.009901,               0.009901,               0.009901
                      5,                 1.3083,                 1.1939,                  1.346,                0.69833,                0.55398,                0.62148,                0.38073,                 1.3328,                 1.1831,                 1.3682,               0.009868,               0.009868,               0.009868
                      6,                 1.3046,                 1.1785,                 1.3407,                0.72162,                0.55652,                0.63756,                0.39032,                 1.3214,                 1.1629,                 1.3618,               0.009835,               0.009835,               0.009835
                      7,                 1.2879,                 1.1479,                 1.3349,                0.72688,                0.57452,                0.65456,                0.40888,                 1.2719,                 1.0937,                 1.3256,               0.009802,               0.009802,               0.009802
                      8,                 1.2432,                 1.1116,                 1.3127,                0.71463,                0.57016,                0.65261,                 0.4085,                 1.2782,                 1.0877,                 1.3358,               0.009769,               0.009769,               0.009769
                      9,                 1.2389,                 1.0982,                 1.3121,                 0.7312,                0.56683,                0.65004,                0.40919,                  1.268,                 1.1017,                 1.3269,               0.009736,               0.009736,               0.009736
                     10,                 1.2272,                 1.0722,                 1.2944,                0.73683,                0.58649,                0.67263,                 0.4262,                 1.2496,                 1.0504,                 1.3035,               0.009703,               0.009703,               0.009703
                     11,                 1.2239,                  1.063,                 1.2925,                0.73371,                 0.5827,                0.66336,                0.41872,                 1.2553,                 1.0652,                 1.3149,                0.00967,                0.00967,                0.00967
                     12,                 1.1952,                 1.0482,                 1.2857,                0.74839,                0.59304,                0.67977,                0.43467,                 1.2178,                 1.0142,                 1.2989,               0.009637,               0.009637,               0.009637
                     13,                 1.1828,                 1.0257,                 1.2752,                0.74974,                0.60657,                0.68514,                0.43589,                  1.212,                 1.0042,                 1.2829,               0.009604,               0.009604,               0.009604
                     14,                 1.1743,                 1.0091,                 1.2666,                0.75727,                0.59963,                0.68993,                0.44102,                 1.2132,                 1.0076,                  1.286,               0.009571,               0.009571,               0.009571
                     15,                 1.1644,                0.98908,                 1.2569,                0.73957,                0.60517,                0.68756,                0.43999,                 1.2062,                0.99739,                 1.2851,               0.009538,               0.009538,               0.009538
                     16,                 1.1508,                0.98112,                 1.2495,                0.76423,                0.60923,                0.69637,                0.44836,                 1.1921,                0.97019,                   1.27,               0.009505,               0.009505,               0.009505
                     17,                 1.1403,                0.97188,                 1.2487,                0.75507,                0.60896,                0.70097,                0.45421,                 1.1982,                0.95701,                 1.2801,               0.009472,               0.009472,               0.009472
                     18,                 1.1367,                0.96113,                 1.2427,                0.75609,                 0.6116,                0.70329,                0.45449,                 1.1822,                0.95848,                 1.2671,               0.009439,               0.009439,               0.009439
                     19,                 1.1268,                 0.9496,                 1.2339,                0.78143,                0.60442,                0.70541,                0.45915,                 1.1822,                0.95039,                 1.2624,               0.009406,               0.009406,               0.009406
                     20,                 1.1167,                0.93033,                 1.2182,                0.76735,                0.62105,                0.70815,                0.45983,                 1.1792,                0.94374,                 1.2611,               0.009373,               0.009373,               0.009373
                     21,                 1.1145,                0.91738,                  1.224,                0.78228,                0.61205,                0.70733,                0.45792,                 1.1861,                0.94556,                 1.2662,                0.00934,                0.00934,                0.00934
                     22,                 1.1057,                0.91967,                 1.2164,                0.76629,                0.62059,                0.71051,                0.46625,                 1.1627,                 0.9322,                  1.251,               0.009307,               0.009307,               0.009307
                     23,                 1.1015,                0.90184,                 1.2154,                0.77702,                0.62241,                0.71397,                0.46716,                 1.1594,                0.93117,                 1.2536,               0.009274,               0.009274,               0.009274
                     24,                 1.0837,                0.89039,                 1.2127,                0.76979,                0.62114,                0.71303,                0.46738,                 1.1688,                0.92128,                 1.2538,               0.009241,               0.009241,               0.009241
                     25,                 1.0887,                0.89614,                 1.2063,                0.76064,                0.63215,                 0.7176,                0.46929,                 1.1621,                0.91706,                 1.2476,               0.009208,               0.009208,               0.009208
                     26,                 1.0781,                0.87519,                 1.1948,                0.76649,                0.62882,                0.71997,                0.47126,                 1.1548,                0.91228,                 1.2411,               0.009175,               0.009175,               0.009175
                     27,                 1.0686,                0.87039,                 1.1962,                0.75587,                 0.6245,                0.71328,                0.46867,                 1.1557,                0.91987,                 1.2487,               0.009142,               0.009142,               0.009142
                     28,                 1.0647,                0.86718,                 1.1899,                0.77284,                0.62568,                 0.7153,                 0.4711,                 1.1525,                0.91674,                 1.2322,               0.009109,               0.009109,               0.009109
                     29,                 1.0542,                0.85061,                  1.176,                0.78196,                0.62672,                0.72502,                 0.4795,                 1.1469,                0.88675,                 1.2403,               0.009076,               0.009076,               0.009076
                     30,                 1.0524,                 0.8475,                 1.1886,                0.76458,                0.63204,                0.71825,                0.47303,                 1.1508,                0.89659,                 1.2508,               0.009043,               0.009043,               0.009043
                     31,                  1.045,                0.83615,                 1.1745,                0.77861,                0.62068,                0.71606,                0.47188,                 1.1532,                0.90833,                 1.2432,                0.00901,                0.00901,                0.00901
                     32,                 1.0413,                0.83413,                 1.1788,                0.77682,                 0.6355,                0.72591,                0.48179,                 1.1312,                0.88393,                 1.2346,               0.008977,               0.008977,               0.008977
                     33,                 1.0273,                0.81578,                 1.1724,                0.75621,                0.63509,                0.71708,                0.47493,                 1.1435,                0.89739,                 1.2351,               0.008944,               0.008944,               0.008944
                     34,                 1.0261,                0.81639,                 1.1665,                0.76644,                0.64049,                0.72858,                0.48441,                 1.1286,                0.87861,                 1.2309,               0.008911,               0.008911,               0.008911
                     35,                 1.0184,                 0.8066,                 1.1672,                0.78089,                0.63221,                0.72227,                0.47948,                 1.1476,                0.88085,                 1.2463,               0.008878,               0.008878,               0.008878
